類別,建築物名稱,電腦編號,村里別,地址,緯經度,地下樓層數,可容納人數,轄管分局,備註
一般住宅,私人住宅大樓,WYA00875,永樂里,臺北市大同區貴德街77號,"25.056327,121.508446",B01,296,大同分局,
一般住宅,私人住宅大樓,WYA00876,永樂里,臺北市大同區貴德街58號,"25.055963,121.508318",B01,411,大同分局,
一般住宅,私人住宅大樓,WYA00877,永樂里,臺北市大同區民生西路432號,"25.056756,121.508478",B01,141,大同分局,
一般住宅,私人住宅大樓,WYA00878,永樂里,臺北市大同區西寧北路112號,"25.05611,121.508861",B01,321,大同分局,
一般住宅,私人住宅大樓,WYA00879,永樂里,臺北市大同區西寧北路120號,"25.05636,121.508872",B01,160,大同分局,
一般住宅,私人住宅大樓,WYA00880,永樂里,臺北市大同區貴德街46巷2-6號,"25.055187,121.5081",B01,196,大同分局,
一般住宅,私人住宅大樓,WYA00882,永樂里,臺北市大同區貴德街38號,"25.054493,121.508216",B01,1086,大同分局,
一般住宅,私人住宅大樓,WYA00883,永樂里,臺北市大同區南京西路315號,"25.053643,121.508089",B01,295,大同分局,
一般住宅,私人住宅大樓,WYA00884,永樂里,臺北市大同區西寧北路92號,"25.055503,121.50881",B01,456,大同分局,
一般住宅,私人住宅大樓,WYA00885,永樂里,臺北市大同區西寧北路124號,"25.056457,121.508874",B01,221,大同分局,
一般住宅,公寓,WYA00886,永樂里,臺北市大同區西寧北路128號,"25.056563,121.508878",B01,74,大同分局,
一般住宅,私人住宅大樓,WYA00887,永樂里,臺北市大同區貴德街36巷2號,"25.054389,121.508009",B01,1170,大同分局,
一般住宅,私人住宅大樓,WYA00888,永樂里,臺北市大同區南京西路319號,"25.053685,121.507941",B01,681,大同分局,
一般住宅,私人住宅大樓,WYA00889,永樂里,臺北市大同區環河北路一段139號,"25.05438,121.507735",B01,151,大同分局,
一般住宅,私人住宅大樓,WYA00892,永樂里,臺北市大同區西寧北路70號,"25.05384,121.508636",B01,320,大同分局,
