年別,類型,觀光遊憩區,細分,縣市,縣市別,1月,2月,3月,4月,5月,6月,7月,8月,9月,10月,11月,12月,合計
2013,博物館, -,新北市立鶯歌陶瓷博物館,新北市,65000,68677.0,107202.0,77734.0,104009.0,71979.0,85399.0,126361.0,153677.0,73165.0,91201.0,82946.0,79193.0,1121543
2013,博物館, -,新北市立十三行博物館,新北市,65000,35547.0,86186.0,49799.0,65153.0,79679.0,74164.0,75049.0,80141.0,57239.0,89903.0,100136.0,48313.0,841309
2013,博物館, -,新北市黃金博物園區,新北市,65000,100379.0,153691.0,133310.0,130318.0,128460.0,157598.0,175310.0,201786.0,146095.0,174478.0,168765.0,152058.0,1822248
2013,博物館, -,新北市客家文化園區,新北市,65000,37046.0,44032.0,60067.0,58317.0,74090.0,100608.0,67620.0,83965.0,82568.0,85832.0,87605.0,71022.0,852772
2013,博物館, -,台北當代藝術館,臺北市,63000,10368.0,11438.0,12793.0,12294.0,16170.0,17100.0,17703.0,17431.0,17881.0,20392.0,17018.0,19081.0,189669
2013,博物館, -,朱銘美術館,新北市,65000,4840.0,11589.0,12100.0,9394.0,10234.0,12704.0,15775.0,18851.0,9916.0,14202.0,12931.0,7990.0,140526
2013,博物館, -,北投溫泉博物館,臺北市,63000,43794.0,26273.0,40520.0,30264.0,32084.0,34153.0,33724.0,42358.0,53084.0,47226.0,55241.0,50133.0,488854
2013,博物館, -,台北故事館,臺北市,63000,8074.0,9127.0,19309.0,9490.0,9093.0,9061.0,8906.0,8356.0,9365.0,11098.0,11262.0,10300.0,123441
2013,博物館, -,林本源園邸( 林家花園),新北市,65000,27012.0,60463.0,34359.0,27216.0,16267.0,24845.0,24819.0,28884.0,23076.0,35449.0,39533.0,28331.0,370254
2013,博物館, -,三峽歷史文物館,新北市,65000,3936.0,8700.0,4536.0,4664.0,3215.0,3212.0,7804.0,4726.0,3092.0,4472.0,5127.0,2564.0,56048
2013,博物館, -,凱達格蘭文化館,臺北市,63000,23525.0,10963.0,20176.0,17608.0,20151.0,21991.0,21258.0,20403.0,18543.0,23572.0,23459.0,29911.0,251560
2013,宗教場所, -,清水祖師廟,新北市,65000,904.0,5000.0,925.0,1940.0,1238.0,999.0,1716.0,984.0,1262.0,1953.0,1390.0,1376.0,19687
2013,宗教場所, -,法鼓山世界佛教教育園區,新北市,65000,21550.0,72969.0,29604.0,27161.0,25933.0,24785.0,22322.0,22820.0,25981.0,26298.0,29494.0,36668.0,365585
2013,其他, -,國民革命忠烈祠,臺北市,63000,141196.0,137904.0,124490.0,131826.0,142148.0,116191.0,123377.0,143294.0,144485.0,176697.0,187125.0,168160.0,1736893
2013,其他, -,國立臺灣藝術教育館,臺北市,63000,30161.0,35498.0,31061.0,29447.0,30424.0,29643.0,26092.0,24951.0,26480.0,35695.0,19518.0,30515.0,349485
2013,其他, -,市立動物園,臺北市,63000,223547.0,443432.0,279716.0,220043.0,184707.0,198782.0,248647.0,274368.0,232015.0,341164.0,343537.0,232701.0,3222659
2013,其他, -,士林官邸公園,臺北市,63000,113000.0,108925.0,199510.0,121000.0,125000.0,96000.0,89000.0,68000.0,71000.0,75000.0,431720.0,135080.0,1633235
2013,其他, -,臺北自來水園區,臺北市,63000,55206.0,69668.0,87867.0,80336.0,92283.0,161467.0,154981.0,125820.0,66307.0,86149.0,108169.0,80298.0,1168551
