category,number,village,address,location,floor,capacity,unit,note
心悅中原公寓,D302000400,頭前里,新北市新莊區頭前里中原東路55號,"25.05439,121.4636",B03,911,新莊分局,
公寓,D302000401,頭前里,新北市新莊區頭前里化成路630巷11號,"25.05527,121.4667",B03,73,新莊分局,
幸福公園公寓,D302000402,福基里,新北市新莊區福基里思源路710號,"25.05841,121.4602",B01,868,新莊分局,
宏普柏悅府大廈,D302000403,頭前里,新北市新莊區頭前里福德二街45號,"25.0571,121.4614",B04,1224,新莊分局,
亞昕細見公寓,D302000404,福基里,新北市新莊區福基里福美街128巷22號,"25.05799,121.4617",B05,482,新莊分局,
冠德鼎苑公寓,D302000405,頭前里,新北市新莊區頭前里福德二街49號,"25.05708,121.4612",B03,1232,新莊分局,
雙橡園公寓,D302000406,化成里,新北市新莊區化成里思源路192巷51號,"25.04847,121.4616",B04,1092,新莊分局,
兆之丘公寓,D302000407,福基里,新北市新莊區福基里思源路678號,"25.05761,121.4602",B04,1201,新莊分局,
合康新時代公寓,D302000408,福基里,新北市新莊區福基里福美街172巷55號,"25.05981,121.4623",B04,1569,新莊分局,
冠德頂峰公寓,D302000409,頭前里,新北市新莊區頭前里思源路486號,"25.05458,121.4602",B03,1666,新莊分局,
上尊爵公寓,D302000410,頭前里,新北市新莊區頭前里頭成街127號,"25.05108,121.4619",B03,760,新莊分局,
冠德鼎華公寓,D302000411,頭前里,新北市新莊區頭前里福德一街32號,"25.05626,121.4625",B03,1520,新莊分局,
閱世界公寓,D302000412,福基里,新北市新莊區福基里福美街172巷31號,"25.05984,121.4615",B04,549,新莊分局,
新莊園公寓,D302000413,福基里,新北市新莊區福基里福德二街1號,"25.0574,121.4628",B04,1494,新莊分局,
W春城大廈,D302000414,頭前里,新北市新莊區頭前里福德一街78號,"25.05621,121.4613",B04,679,新莊分局,
"W TOWER越世紀公寓",D302000415,頭前里,新北市新莊區頭前里思源路362號,"25.05131,121.4602",B03,1608,新莊分局,
皇冠花園公寓,D302000416,頭前里,新北市新莊區頭前里中原東路192號,"25.05454,121.4612",B03,602,新莊分局,
廣天廈公寓,D302000417,頭前里,新北市新莊區頭前里頭成街107號,"25.05033,121.4618",B03,2347,新莊分局,
國鉅V-HOUSE社區,D302000418,福基里,新北市新莊區福基里新北大道2段241號,"25.06033,121.4613",B04,847,新莊分局,
天耀公寓,D302000419,頭前里,新北市新莊區頭前里思源路338號,"25.0512,121.4603",B04,895,新莊分局,
幸福讚飯店,D302000420,頭前里,新北市新莊區頭前里思源路332巷9號,"25.05108,121.4607",B04,551,新莊分局,
冠德鼎極公寓,D302000421,化成里,新北市新莊區化成里思源路228號,"25.0487,121.46",B02,808,新莊分局,
合康天賦公寓,D302000422,頭前里,新北市新莊區頭前里福美街62巷2號,"25.05473,121.4613",B04,1592,新莊分局,
亞昕采匯公寓,D302000423,福基里,新北市新莊區福基里福美街128巷30號,"25.05797,121.4621",B03,447,新莊分局,
吉泰美公寓,D302000424,頭前里,新北市新莊區頭前里頭前路149號,"25.05221,121.4611",B04,1342,新莊分局,
國美大悅大廈,D302000425,福基里,新北市新莊區福基里福德三街66號,"25.05891,121.4612",B03,611,新莊分局,
合康新世紀公寓,D302000426,頭前里,新北市新莊區頭前里中原東路127號,"25.05421,121.4612",B03,1659,新莊分局,
碧瑤峰範公寓,D302000427,頭前里,新北市新莊區頭前里福美街16號1,"25.05318,121.4608",B04,767,新莊分局,
歐由國際股份公司,D302000428,福基里,新北市新莊區福基里思源路746號,"25.05917,121.4602",B03,1241,新莊分局,
建義首璽公寓,D302000429,頭前里,新北市新莊區頭前里思源路296巷31號,"25.05026,121.461",B01,403,新莊分局,
碧瑤富郁公寓,D302000430,福基里,新北市新莊區福基里福美街132號,"25.05892,121.4608",B02,451,新莊分局,
豐悅公寓,D302000431,頭前里,新北市新莊區頭前里中原東路89巷1號,"25.05429,121.4626",B04,271,新莊分局,
禾豐禾悅公寓,D302000432,頭前里,新北市新莊區頭前里中原東路69號,"25.05435,121.4631",B03,437,新莊分局,
合康新世代公寓,D302000433,頭前里,新北市新莊區頭前里中原東路107號,"25.05402,121.4617",B04,910,新莊分局,
家麒經貿總部,D302000434,思源里,新北市新莊區思源里中正路62號,"25.03958,121.4611",B04,1365,新莊分局,
